date,cto,cloud,tr_product_pillar_team,tr_subpillar_name,tr_product_id,tr_product,application,service_name,managed_service,environment,cost
2024-02-02,Infrastructure,GCP,Financial,Payments,347,Payment Gateway,Payments,Transaction Processing,Firestore,NON-PROD,113.1
2024-02-02,Technology,GCP,Content,API,498,Content API,Content Management,API Gateway,Cloud Run,PROD,193.59
2024-02-02,Technology,Azure,Content,API,498,Content API,Content Management,API Gateway,SQL Database,PROD,287.07
2024-02-02,Technology,AWS,Content,API,498,Content API,Content Management,API Gateway,DynamoDB,NON-PROD,96.76
2024-02-02,Technology,GCP,Content,API,498,Content API,Content Management,API Gateway,BigQuery,NON-PROD,74.39
2024-02-02,Engineering,GCP,Mobile,Apps,512,Mobile App,Mobile Client,iOS App,Cloud Storage,NON-PROD,119.77
2024-02-02,Technology,Azure,Mobile,Apps,512,Mobile App,Mobile Client,iOS App,Virtual Machines,NON-PROD,73.36
2024-02-02,Infrastructure,Azure,Platform,Search,634,Search Engine,Search Service,Query Engine,SQL Database,PROD,147.34
2024-02-02,Engineering,GCP,AI,Recommendations,789,Recommendation Engine,ML Services,Product Recommendations,Cloud Run,PROD,161.12
2024-02-02,Engineering,Azure,AI,Recommendations,789,Recommendation Engine,ML Services,Product Recommendations,Functions,NON-PROD,101.77
2024-02-02,Technology,GCP,Marketing,Analytics,891,Marketing Analytics,Marketing Platform,Campaign Analytics,Compute Engine,PROD,183.75
2024-02-02,Engineering,AWS,Marketing,Analytics,891,Marketing Analytics,Marketing Platform,Campaign Analytics,Redshift,NON-PROD,56.77
2024-02-02,Engineering,GCP,Marketing,Analytics,891,Marketing Analytics,Marketing Platform,Campaign Analytics,Compute Engine,NON-PROD,74.85
2024-02-02,Technology,AWS,Data,Storage,967,Customer Database,CRM,Customer Store,DynamoDB,PROD,267.53
2024-02-02,Technology,Azure,Data,Storage,967,Customer Database,CRM,Customer Store,CosmosDB,PROD,297.57
2024-02-02,Technology,AWS,Security,Core,1204,Security Service,Security Platform,Threat Detection,Fargate,NON-PROD,106.23
2024-02-02,Engineering,Azure,Security,Core,1204,Security Service,Security Platform,Threat Detection,Synapse,NON-PROD,53.38
2024-02-03,Engineering,Azure,Platform,Core,12,Commerce Platform,E-commerce,Web Store,Blob Storage,PROD,134.94
2024-02-03,Infrastructure,GCP,Platform,Core,12,Commerce Platform,E-commerce,Web Store,Cloud Run,NON-PROD,26.3
2024-02-03,Infrastructure,AWS,Platform,Core,32,Item Checkout,E-commerce,Checkout Service,RDS,PROD,123.95
2024-02-03,Technology,GCP,Platform,Core,32,Item Checkout,E-commerce,Checkout Service,Firestore,PROD,123.8
2024-02-03,Infrastructure,Azure,Platform,Core,32,Item Checkout,E-commerce,Checkout Service,Blob Storage,PROD,156.1
2024-02-03,Engineering,Azure,Platform,Core,32,Item Checkout,E-commerce,Checkout Service,SQL Database,NON-PROD,70.12
2024-02-03,Engineering,AWS,Platform,Identity,135,Identity Service,Auth System,User Auth,S3,PROD,58.19
2024-02-03,Engineering,Azure,Platform,Identity,135,Identity Service,Auth System,User Auth,SQL Database,PROD,151.81
2024-02-03,Engineering,GCP,Platform,Identity,135,Identity Service,Auth System,User Auth,Cloud Functions,NON-PROD,44.62
2024-02-03,Technology,Azure,Platform,Identity,135,Identity Service,Auth System,User Auth,Synapse,NON-PROD,28.41
2024-02-03,Infrastructure,Azure,Data,Analytics,246,Data Analytics,Business Intel,Reports,Functions,PROD,126.06
2024-02-03,Infrastructure,AWS,Financial,Payments,347,Payment Gateway,Payments,Transaction Processing,Redshift,PROD,100.34
2024-02-03,Infrastructure,Azure,Financial,Payments,347,Payment Gateway,Payments,Transaction Processing,SQL Database,PROD,171.94
2024-02-03,Infrastructure,AWS,Financial,Payments,347,Payment Gateway,Payments,Transaction Processing,RDS,NON-PROD,48.57
2024-02-03,Engineering,Azure,Financial,Payments,347,Payment Gateway,Payments,Transaction Processing,CosmosDB,NON-PROD,18.98
2024-02-03,Technology,AWS,Content,API,498,Content API,Content Management,API Gateway,S3,PROD,149.43
2024-02-03,Infrastructure,AWS,Content,API,498,Content API,Content Management,API Gateway,Fargate,NON-PROD,55.16
2024-02-03,Technology,GCP,Platform,Search,634,Search Engine,Search Service,Query Engine,Compute Engine,PROD,149.17
2024-02-03,Infrastructure,GCP,Platform,Search,634,Search Engine,Search Service,Query Engine,BigQuery,NON-PROD,54.12
2024-02-03,Engineering,AWS,AI,Recommendations,789,Recommendation Engine,ML Services,Product Recommendations,DynamoDB,PROD,105.82
2024-02-03,Technology,AWS,Marketing,Analytics,891,Marketing Analytics,Marketing Platform,Campaign Analytics,S3,PROD,105.38
2024-02-03,Infrastructure,AWS,Data,Storage,967,Customer Database,CRM,Customer Store,Lambda,PROD,82.05
2024-02-03,Engineering,GCP,Data,Storage,967,Customer Database,CRM,Customer Store,BigQuery,NON-PROD,20.57
2024-02-03,Technology,Azure,Data,Storage,967,Customer Database,CRM,Customer Store,Functions,NON-PROD,66.53
2024-02-03,Infrastructure,Azure,Security,Core,1204,Security Service,Security Platform,Threat Detection,Blob Storage,NON-PROD,52.49
2024-02-03,Infrastructure,Azure,Platform,Messaging,3544,Notification Service,Notifications,Push Service,Synapse,PROD,150.93
2024-02-03,Engineering,Azure,Platform,Messaging,3544,Notification Service,Notifications,Push Service,CosmosDB,NON-PROD,32.61
2024-02-04,Infrastructure,AWS,Platform,Core,12,Commerce Platform,E-commerce,Web Store,Fargate,PROD,75.49
2024-02-04,Engineering,GCP,Platform,Core,12,Commerce Platform,E-commerce,Web Store,BigQuery,PROD,177.47
2024-02-04,Infrastructure,Azure,Platform,Core,12,Commerce Platform,E-commerce,Web Store,CosmosDB,PROD,87.35
2024-02-04,Engineering,GCP,Platform,Identity,135,Identity Service,Auth System,User Auth,Firestore,PROD,74.09
2024-02-04,Technology,Azure,Platform,Identity,135,Identity Service,Auth System,User Auth,Blob Storage,PROD,139.25
2024-02-04,Infrastructure,AWS,Platform,Identity,135,Identity Service,Auth System,User Auth,S3,NON-PROD,44.98
2024-02-04,Technology,GCP,Platform,Identity,135,Identity Service,Auth System,User Auth,Cloud Run,NON-PROD,32.96
2024-02-04,Infrastructure,GCP,Data,Analytics,246,Data Analytics,Business Intel,Reports,Cloud Storage,PROD,98.34
2024-02-04,Technology,Azure,Data,Analytics,246,Data Analytics,Business Intel,Reports,SQL Database,PROD,125.73
2024-02-04,Infrastructure,Azure,Content,API,498,Content API,Content Management,API Gateway,Blob Storage,NON-PROD,28.27
2024-02-04,Infrastructure,AWS,Mobile,Apps,512,Mobile App,Mobile Client,iOS App,EC2,NON-PROD,29.33
2024-02-04,Infrastructure,Azure,Mobile,Apps,512,Mobile App,Mobile Client,iOS App,Blob Storage,NON-PROD,56.3
2024-02-04,Engineering,GCP,Platform,Search,634,Search Engine,Search Service,Query Engine,Firestore,PROD,169.19
2024-02-04,Engineering,Azure,Platform,Search,634,Search Engine,Search Service,Query Engine,CosmosDB,PROD,80.36
2024-02-04,Infrastructure,Azure,Platform,Search,634,Search Engine,Search Service,Query Engine,Blob Storage,NON-PROD,58.23
2024-02-04,Engineering,GCP,AI,Recommendations,789,Recommendation Engine,ML Services,Product Recommendations,Compute Engine,NON-PROD,34.84
2024-02-04,Infrastructure,AWS,Data,Storage,967,Customer Database,CRM,Customer Store,Redshift,PROD,133.47
2024-02-04,Infrastructure,Azure,Data,Storage,967,Customer Database,CRM,Customer Store,Functions,PROD,48.26
2024-02-04,Engineering,GCP,Data,Storage,967,Customer Database,CRM,Customer Store,Cloud Run,NON-PROD,42.52
2024-02-04,Infrastructure,Azure,Data,Storage,967,Customer Database,CRM,Customer Store,Virtual Machines,NON-PROD,51.01
2024-02-04,Technology,GCP,Platform,Messaging,3544,Notification Service,Notifications,Push Service,BigQuery,NON-PROD,40.7
2024-02-05,Infrastructure,AWS,Platform,Core,12,Commerce Platform,E-commerce,Web Store,S3,PROD,186.81
2024-02-05,Technology,Azure,Platform,Core,12,Commerce Platform,E-commerce,Web Store,Virtual Machines,PROD,227.88
2024-02-05,Infrastructure,GCP,Platform,Core,12,Commerce Platform,E-commerce,Web Store,Compute Engine,NON-PROD,104.01
2024-02-05,Engineering,Azure,Platform,Core,12,Commerce Platform,E-commerce,Web Store,Functions,NON-PROD,68.3
2024-02-05,Infrastructure,AWS,Platform,Core,32,Item Checkout,E-commerce,Checkout Service,DynamoDB,PROD,93.72
2024-02-05,Technology,GCP,Platform,Core,32,Item Checkout,E-commerce,Checkout Service,Cloud Run,PROD,277.11
2024-02-05,Technology,Azure,Platform,Core,32,Item Checkout,E-commerce,Checkout Service,Blob Storage,PROD,119.93
2024-02-05,Technology,AWS,Platform,Core,32,Item Checkout,E-commerce,Checkout Service,Redshift,NON-PROD,38.9
2024-02-05,Engineering,GCP,Platform,Core,32,Item Checkout,E-commerce,Checkout Service,Compute Engine,NON-PROD,105.53
2024-02-05,Engineering,Azure,Platform,Core,32,Item Checkout,E-commerce,Checkout Service,Blob Storage,NON-PROD,61.67
2024-02-05,Technology,GCP,Platform,Identity,135,Identity Service,Auth System,User Auth,Cloud Storage,PROD,287.7
2024-02-05,Engineering,GCP,Platform,Identity,135,Identity Service,Auth System,User Auth,Cloud Run,NON-PROD,64.36
2024-02-05,Engineering,AWS,Data,Analytics,246,Data Analytics,Business Intel,Reports,Fargate,PROD,221.6
2024-02-05,Infrastructure,GCP,Data,Analytics,246,Data Analytics,Business Intel,Reports,Firestore,PROD,228.74
2024-02-05,Infrastructure,GCP,Data,Analytics,246,Data Analytics,Business Intel,Reports,Cloud Functions,NON-PROD,94.38
2024-02-05,Infrastructure,GCP,Financial,Payments,347,Payment Gateway,Payments,Transaction Processing,Cloud Storage,PROD,231.57
2024-02-05,Engineering,AWS,Financial,Payments,347,Payment Gateway,Payments,Transaction Processing,RDS,NON-PROD,107.01
2024-02-05,Infrastructure,Azure,Financial,Payments,347,Payment Gateway,Payments,Transaction Processing,Functions,NON-PROD,102.76
2024-02-05,Technology,GCP,Content,API,498,Content API,Content Management,API Gateway,Cloud Functions,PROD,173.4
2024-02-05,Engineering,AWS,Content,API,498,Content API,Content Management,API Gateway,DynamoDB,NON-PROD,110.48
2024-02-05,Engineering,GCP,Mobile,Apps,512,Mobile App,Mobile Client,iOS App,Cloud Functions,PROD,206.1
2024-02-05,Engineering,AWS,Mobile,Apps,512,Mobile App,Mobile Client,iOS App,EC2,NON-PROD,58.88
2024-02-05,Technology,Azure,Mobile,Apps,512,Mobile App,Mobile Client,iOS App,SQL Database,NON-PROD,52.97
2024-02-05,Engineering,AWS,Platform,Search,634,Search Engine,Search Service,Query Engine,Redshift,PROD,186.3
2024-02-05,Technology,GCP,Platform,Search,634,Search Engine,Search Service,Query Engine,Compute Engine,PROD,269.17
2024-02-05,Infrastructure,GCP,AI,Recommendations,789,Recommendation Engine,ML Services,Product Recommendations,Cloud Functions,PROD,232.29
2024-02-05,Technology,Azure,AI,Recommendations,789,Recommendation Engine,ML Services,Product Recommendations,Synapse,NON-PROD,101.48
2024-02-05,Infrastructure,GCP,Marketing,Analytics,891,Marketing Analytics,Marketing Platform,Campaign Analytics,Compute Engine,PROD,241.35
2024-02-05,Technology,GCP,Data,Storage,967,Customer Database,CRM,Customer Store,Cloud Storage,NON-PROD,115.66
2024-02-05,Infrastructure,AWS,Security,Core,1204,Security Service,Security Platform,Threat Detection,S3,PROD,179.94
2024-02-05,Engineering,GCP,Security,Core,1204,Security Service,Security Platform,Threat Detection,Firestore,NON-PROD,34.95
2024-02-05,Technology,Azure,Security,Core,1204,Security Service,Security Platform,Threat Detection,CosmosDB,NON-PROD,108.37
2024-02-05,Engineering,GCP,Platform,Messaging,3544,Notification Service,Notifications,Push Service,BigQuery,PROD,101.8
2024-02-06,Infrastructure,GCP,Platform,Core,12,Commerce Platform,E-commerce,Web Store,Cloud Storage,PROD,203.26
2024-02-06,Engineering,Azure,Platform,Core,12,Commerce Platform,E-commerce,Web Store,Virtual Machines,NON-PROD,104.43
2024-02-06,Technology,AWS,Platform,Core,32,Item Checkout,E-commerce,Checkout Service,S3,PROD,188.91
2024-02-06,Technology,AWS,Platform,Core,32,Item Checkout,E-commerce,Checkout Service,Lambda,NON-PROD,85.84
2024-02-06,Engineering,Azure,Platform,Identity,135,Identity Service,Auth System,User Auth,Blob Storage,PROD,186.44
2024-02-06,Infrastructure,Azure,Platform,Identity,135,Identity Service,Auth System,User Auth,Functions,NON-PROD,77.41
2024-02-06,Engineering,Azure,Financial,Payments,347,Payment Gateway,Payments,Transaction Processing,Synapse,PROD,248.25
2024-02-06,Technology,GCP,Mobile,Apps,512,Mobile App,Mobile Client,iOS App,Firestore,NON-PROD,100.06
2024-02-06,Infrastructure,GCP,Platform,Search,634,Search Engine,Search Service,Query Engine,Cloud Run,NON-PROD,105.0
2024-02-06,Technology,GCP,AI,Recommendations,789,Recommendation Engine,ML Services,Product Recommendations,Cloud Storage,NON-PROD,52.17
2024-02-06,Technology,Azure,AI,Recommendations,789,Recommendation Engine,ML Services,Product Recommendations,Virtual Machines,NON-PROD,84.35
2024-02-06,Engineering,Azure,Marketing,Analytics,891,Marketing Analytics,Marketing Platform,Campaign Analytics,Virtual Machines,PROD,149.01
2024-02-06,Infrastructure,AWS,Marketing,Analytics,891,Marketing Analytics,Marketing Platform,Campaign Analytics,Redshift,NON-PROD,45.11
2024-02-06,Infrastructure,GCP,Data,Storage,967,Customer Database,CRM,Customer Store,Cloud Run,PROD,112.92
2024-02-06,Infrastructure,Azure,Data,Storage,967,Customer Database,CRM,Customer Store,Blob Storage,PROD,254.98
2024-02-06,Engineering,AWS,Security,Core,1204,Security Service,Security Platform,Threat Detection,Lambda,NON-PROD,35.7
2024-02-06,Infrastructure,GCP,Security,Core,1204,Security Service,Security Platform,Threat Detection,Compute Engine,NON-PROD,82.12
2024-02-06,Technology,AWS,Platform,Messaging,3544,Notification Service,Notifications,Push Service,Lambda,PROD,261.27
2024-02-07,Technology,Azure,Platform,Core,32,Item Checkout,E-commerce,Checkout Service,Blob Storage,PROD,146.42
2024-02-07,Infrastructure,GCP,Platform,Core,32,Item Checkout,E-commerce,Checkout Service,Cloud Functions,NON-PROD,119.7
2024-02-07,Infrastructure,Azure,Platform,Core,32,Item Checkout,E-commerce,Checkout Service,CosmosDB,NON-PROD,45.64
2024-02-07,Engineering,GCP,Platform,Identity,135,Identity Service,Auth System,User Auth,Firestore,PROD,161.5
2024-02-07,Technology,Azure,Platform,Identity,135,Identity Service,Auth System,User Auth,CosmosDB,PROD,93.28
2024-02-07,Engineering,AWS,Platform,Identity,135,Identity Service,Auth System,User Auth,Lambda,NON-PROD,55.01
2024-02-07,Engineering,GCP,Platform,Identity,135,Identity Service,Auth System,User Auth,Cloud Functions,NON-PROD,114.28
2024-02-07,Technology,GCP,Data,Analytics,246,Data Analytics,Business Intel,Reports,Compute Engine,PROD,278.62
2024-02-07,Infrastructure,GCP,Financial,Payments,347,Payment Gateway,Payments,Transaction Processing,Cloud Functions,PROD,180.73
2024-02-07,Engineering,Azure,Financial,Payments,347,Payment Gateway,Payments,Transaction Processing,Blob Storage,NON-PROD,56.36
2024-02-07,Infrastructure,Azure,Content,API,498,Content API,Content Management,API Gateway,Synapse,PROD,233.17
2024-02-07,Technology,AWS,Content,API,498,Content API,Content Management,API Gateway,EC2,NON-PROD,105.81
2024-02-07,Infrastructure,Azure,Content,API,498,Content API,Content Management,API Gateway,Functions,NON-PROD,49.21
2024-02-07,Infrastructure,GCP,Mobile,Apps,512,Mobile App,Mobile Client,iOS App,Cloud Run,NON-PROD,107.32
2024-02-07,Engineering,GCP,Platform,Search,634,Search Engine,Search Service,Query Engine,Cloud Storage,PROD,295.68
2024-02-07,Technology,GCP,Platform,Search,634,Search Engine,Search Service,Query Engine,Compute Engine,NON-PROD,64.39
2024-02-07,Technology,Azure,Platform,Search,634,Search Engine,Search Service,Query Engine,SQL Database,NON-PROD,86.92
2024-02-07,Infrastructure,GCP,AI,Recommendations,789,Recommendation Engine,ML Services,Product Recommendations,Firestore,PROD,285.71
2024-02-07,Infrastructure,Azure,AI,Recommendations,789,Recommendation Engine,ML Services,Product Recommendations,CosmosDB,PROD,255.6
2024-02-07,Technology,GCP,AI,Recommendations,789,Recommendation Engine,ML Services,Product Recommendations,Cloud Functions,NON-PROD,60.59
2024-02-07,Engineering,Azure,AI,Recommendations,789,Recommendation Engine,ML Services,Product Recommendations,SQL Database,NON-PROD,64.07
2024-02-07,Technology,GCP,Marketing,Analytics,891,Marketing Analytics,Marketing Platform,Campaign Analytics,Firestore,PROD,182.29
2024-02-07,Engineering,AWS,Data,Storage,967,Customer Database,CRM,Customer Store,Fargate,NON-PROD,109.23
2024-02-07,Infrastructure,AWS,Security,Core,1204,Security Service,Security Platform,Threat Detection,RDS,PROD,84.83
2024-02-07,Infrastructure,GCP,Security,Core,1204,Security Service,Security Platform,Threat Detection,Cloud Functions,PROD,290.5
2024-02-07,Engineering,Azure,Platform,Messaging,3544,Notification Service,Notifications,Push Service,Synapse,PROD,256.56
2024-02-07,Technology,AWS,Platform,Messaging,3544,Notification Service,Notifications,Push Service,Fargate,NON-PROD,74.26
2024-02-07,Engineering,Azure,Platform,Messaging,3544,Notification Service,Notifications,Push Service,Synapse,NON-PROD,104.58
2024-02-08,Technology,AWS,Platform,Core,12,Commerce Platform,E-commerce,Web Store,Redshift,PROD,299.28
2024-02-08,Infrastructure,Azure,Platform,Core,12,Commerce Platform,E-commerce,Web Store,CosmosDB,PROD,105.02
2024-02-08,Technology,Azure,Platform,Core,12,Commerce Platform,E-commerce,Web Store,Functions,NON-PROD,43.77
2024-02-08,Technology,AWS,Platform,Core,32,Item Checkout,E-commerce,Checkout Service,Fargate,PROD,157.45
2024-02-08,Engineering,GCP,Platform,Core,32,Item Checkout,E-commerce,Checkout Service,Cloud Storage,PROD,286.19
2024-02-08,Technology,GCP,Platform,Core,32,Item Checkout,E-commerce,Checkout Service,Firestore,NON-PROD,49.9
2024-02-08,Infrastructure,Azure,Platform,Identity,135,Identity Service,Auth System,User Auth,Synapse,PROD,189.6
2024-02-08,Engineering,AWS,Data,Analytics,246,Data Analytics,Business Intel,Reports,Lambda,NON-PROD,61.26
2024-02-08,Infrastructure,GCP,Financial,Payments,347,Payment Gateway,Payments,Transaction Processing,Compute Engine,PROD,132.17
2024-02-08,Engineering,GCP,Financial,Payments,347,Payment Gateway,Payments,Transaction Processing,Cloud Functions,NON-PROD,55.77
2024-02-08,Infrastructure,GCP,Content,API,498,Content API,Content Management,API Gateway,Compute Engine,PROD,149.25
2024-02-08,Technology,AWS,Content,API,498,Content API,Content Management,API Gateway,S3,NON-PROD,61.79
2024-02-08,Technology,GCP,Mobile,Apps,512,Mobile App,Mobile Client,iOS App,Cloud Functions,PROD,117.44
2024-02-08,Infrastructure,AWS,Mobile,Apps,512,Mobile App,Mobile Client,iOS App,Redshift,NON-PROD,112.05
2024-02-08,Technology,GCP,Mobile,Apps,512,Mobile App,Mobile Client,iOS App,BigQuery,NON-PROD,87.79
2024-02-08,Technology,Azure,Mobile,Apps,512,Mobile App,Mobile Client,iOS App,Blob Storage,NON-PROD,73.42
2024-02-08,Infrastructure,Azure,Platform,Search,634,Search Engine,Search Service,Query Engine,CosmosDB,PROD,286.73
2024-02-08,Engineering,Azure,AI,Recommendations,789,Recommendation Engine,ML Services,Product Recommendations,Functions,NON-PROD,111.39
2024-02-08,Engineering,AWS,Marketing,Analytics,891,Marketing Analytics,Marketing Platform,Campaign Analytics,EC2,PROD,247.98
2024-02-08,Infrastructure,GCP,Marketing,Analytics,891,Marketing Analytics,Marketing Platform,Campaign Analytics,Firestore,PROD,258.29
2024-02-08,Engineering,Azure,Marketing,Analytics,891,Marketing Analytics,Marketing Platform,Campaign Analytics,Synapse,NON-PROD,95.23
2024-02-08,Engineering,AWS,Data,Storage,967,Customer Database,CRM,Customer Store,Lambda,NON-PROD,40.24
2024-02-08,Engineering,Azure,Data,Storage,967,Customer Database,CRM,Customer Store,Blob Storage,NON-PROD,33.45
2024-02-08,Engineering,Azure,Security,Core,1204,Security Service,Security Platform,Threat Detection,Functions,NON-PROD,89.97
2024-02-08,Technology,GCP,Platform,Messaging,3544,Notification Service,Notifications,Push Service,Compute Engine,NON-PROD,64.6
2024-02-09,Infrastructure,AWS,Platform,Core,12,Commerce Platform,E-commerce,Web Store,S3,PROD,285.6
2024-02-09,Technology,Azure,Platform,Core,12,Commerce Platform,E-commerce,Web Store,Virtual Machines,PROD,204.43
2024-02-09,Engineering,Azure,Platform,Core,12,Commerce Platform,E-commerce,Web Store,Blob Storage,NON-PROD,88.93
2024-02-09,Engineering,AWS,Platform,Core,32,Item Checkout,E-commerce,Checkout Service,S3,PROD,231.78
2024-02-09,Engineering,Azure,Platform,Core,32,Item Checkout,E-commerce,Checkout Service,Virtual Machines,PROD,126.47
2024-02-09,Engineering,AWS,Platform,Identity,135,Identity Service,Auth System,User Auth,EC2,PROD,94.19
2024-02-09,Infrastructure,GCP,Platform,Identity,135,Identity Service,Auth System,User Auth,Cloud Functions,NON-PROD,49.75
2024-02-09,Engineering,GCP,Financial,Payments,347,Payment Gateway,Payments,Transaction Processing,Compute Engine,PROD,280.07
2024-02-09,Engineering,AWS,Financial,Payments,347,Payment Gateway,Payments,Transaction Processing,RDS,NON-PROD,49.76
2024-02-09,Engineering,AWS,Mobile,Apps,512,Mobile App,Mobile Client,iOS App,S3,PROD,115.88
2024-02-09,Infrastructure,Azure,Mobile,Apps,512,Mobile App,Mobile Client,iOS App,CosmosDB,PROD,247.86
2024-02-09,Technology,AWS,Platform,Search,634,Search Engine,Search Service,Query Engine,EC2,PROD,188.96
2024-02-09,Engineering,Azure,Platform,Search,634,Search Engine,Search Service,Query Engine,CosmosDB,PROD,271.99
2024-02-09,Technology,Azure,Platform,Search,634,Search Engine,Search Service,Query Engine,SQL Database,NON-PROD,30.66
2024-02-09,Technology,AWS,AI,Recommendations,789,Recommendation Engine,ML Services,Product Recommendations,RDS,PROD,295.89
2024-02-09,Infrastructure,GCP,AI,Recommendations,789,Recommendation Engine,ML Services,Product Recommendations,BigQuery,PROD,128.96
2024-02-09,Infrastructure,AWS,AI,Recommendations,789,Recommendation Engine,ML Services,Product Recommendations,S3,NON-PROD,104.56
2024-02-09,Technology,GCP,AI,Recommendations,789,Recommendation Engine,ML Services,Product Recommendations,BigQuery,NON-PROD,73.63
2024-02-09,Technology,GCP,Marketing,Analytics,891,Marketing Analytics,Marketing Platform,Campaign Analytics,Compute Engine,PROD,293.35
2024-02-09,Technology,AWS,Data,Storage,967,Customer Database,CRM,Customer Store,Lambda,PROD,269.22
2024-02-09,Engineering,GCP,Data,Storage,967,Customer Database,CRM,Customer Store,Compute Engine,PROD,148.93
2024-02-09,Technology,GCP,Data,Storage,967,Customer Database,CRM,Customer Store,Cloud Storage,NON-PROD,74.18
2024-02-09,Infrastructure,Azure,Data,Storage,967,Customer Database,CRM,Customer Store,Synapse,NON-PROD,64.48
2024-02-09,Engineering,Azure,Platform,Messaging,3544,Notification Service,Notifications,Push Service,Synapse,PROD,108.95
2024-02-09,Engineering,Azure,Platform,Messaging,3544,Notification Service,Notifications,Push Service,Virtual Machines,NON-PROD,64.28
2024-02-10,Infrastructure,GCP,Platform,Identity,135,Identity Service,Auth System,User Auth,Firestore,PROD,163.4
2024-02-10,Infrastructure,AWS,Platform,Identity,135,Identity Service,Auth System,User Auth,DynamoDB,NON-PROD,69.26
2024-02-10,Engineering,AWS,Data,Analytics,246,Data Analytics,Business Intel,Reports,Redshift,PROD,166.73
